character,archetype,gender,Arle,Bur,Cap,Cas,Cat,Cavi,Cinz,Clau,Fabr,Flam,Flav,Flavia,Fran,Graz,Gril,Hibr,Inn,Isa,Lau,Lid,Oliv,Oraz,Pant,Pasq,Pedr,Pio,Ric,Silv,Tof,Vit
Flavio,INNAMORATI,MALE,0.08848080133555926,0.05676126878130217,0.08514190317195326,0.0,0.0,0.0,0.01335559265442404,0.00333889816360601,0.00333889816360601,0.1018363939899833,0.00333889816360601,0.001669449081803005,0.07345575959933222,0.07178631051752922,0.001669449081803005,0.001669449081803005,0.0,0.12020033388981637,0.005008347245409015,0.001669449081803005,0.001669449081803005,0.10851419031719532,0.09181969949916527,0.00667779632721202,0.14357262103505844,0.001669449081803005,0.005008347245409015,0.001669449081803005,0.001669449081803005,0.001669449081803005
Flavia,INNAMORATI,FEMALE,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Franceschina,SERVI,FEMALE,0.07539682539682539,0.03968253968253968,0.07738095238095238,0.001984126984126984,0.0,0.0,0.01984126984126984,0.005952380952380952,0.003968253968253968,0.10714285714285714,0.0873015873015873,0.001984126984126984,0.007936507936507936,0.07539682539682539,0.001984126984126984,0.001984126984126984,0.0,0.1111111111111111,0.0,0.001984126984126984,0.001984126984126984,0.10119047619047619,0.10317460317460317,0.001984126984126984,0.15674603174603174,0.0,0.003968253968253968,0.0,0.001984126984126984,0.0
Graziano,VECCHI,MALE,0.10351201478743069,0.04990757855822551,0.08317929759704251,0.0018484288354898336,0.0018484288354898336,0.0018484288354898336,0.009242144177449169,0.009242144177449169,0.0073937153419593345,0.08872458410351201,0.07948243992606285,0.0018484288354898336,0.07024029574861368,0.0036968576709796672,0.0018484288354898336,0.0018484288354898336,0.0,0.08133086876155268,0.0018484288354898336,0.0,0.005545286506469501,0.08687615526802218,0.133086876155268,0.0073937153419593345,0.14972273567467653,0.0018484288354898336,0.0073937153419593345,0.0018484288354898336,0.0018484288354898336,0.0018484288354898336
Grillo,SERVI,MALE,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
Hibrahim,VECCHI,MALE,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0
Innkeeper,SERVI,MALE,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isabella,INNAMORATI,FEMALE,0.0804093567251462,0.054093567251461985,0.07456140350877193,0.0014619883040935672,0.0014619883040935672,0.0014619883040935672,0.017543859649122806,0.0029239766081871343,0.0014619883040935672,0.10087719298245613,0.10526315789473684,0.0,0.08187134502923976,0.06432748538011696,0.0014619883040935672,0.0014619883040935672,0.0,0.005847953216374269,0.005847953216374269,0.0014619883040935672,0.0043859649122807015,0.1301169590643275,0.09064327485380116,0.007309941520467836,0.1476608187134503,0.0014619883040935672,0.0043859649122807015,0.0014619883040935672,0.0014619883040935672,0.0014619883040935672
Laura,VECCHI,FEMALE,0.0625,0.03125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.09375,0.0,0.0,0.03125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.09375,0.0,0.0,0.0,0.0,0.0
Lidia,INNAMORATI,FEMALE,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
